10,1,3
16,1,4
20,1,1
20,2,3
25,1,2
29,2,4
35,3,3
38,2,1
47,2,2
47,3,4
50,4,3
61,3,1
64,5,3
67,4,4
77,3,2
84,6,3
87,5,4
90,4,1
93,7,3
108,6,4
114,4,2
122,5,1
122,8,3
125,7,4
143,9,3
154,5,2
154,6,1
157,8,4
174,10,3
178,7,1
189,9,4
195,6,2
200,11,3
221,8,1
221,10,4
224,7,2
227,12,3
259,11,4
259,13,3
262,9,1
279,8,2
283,14,3
296,12,4
311,10,1
321,15,3
335,9,2
352,13,4
365,16,3
366,11,1
376,14,4
395,10,2
408,17,3
419,12,1
426,15,4
452,18,3
468,11,2
470,16,4
483,13,1
493,19,3
528,14,1
531,17,4
535,12,2
557,20,3
574,18,4
587,21,3
600,15,1
619,13,2
640,22,3
644,19,4
656,16,1
667,14,2
672,23,3
702,20,4
734,17,1
742,21,4
744,24,3
758,15,2
779,25,3
816,18,1
823,22,4
854,16,2
864,26,3
890,23,4
909,19,1
910,27,3
938,17,2
958,8,3
963,24,4
970,20,1
1016,29,3
1035,21,1
1041,25,4
1046,18,2
1080,30,3
1094,26,4
1134,22,1
1150,31,3
1153,19,2
1172,27,4
1226,32,3
1248,23,1
1249,20,2
1263,28,4
1307,33,3
1322,29,4
1326,24,1
1352,21,2
1394,34,3
1429,30,4
1431,35,3
1451,25,1
1460,22,2
1499,31,4
1530,36,3
1542,26,1
1588,23,2
1591,37,3
1618,32,4
1637,27,1
1658,38,3
1700,33,4
1704,24,2
1732,28,1
1774,39,3
1787,34,4
1839,29,1
1852,40,3
1853,25,2
1867,35,4
1966,36,4
1990,26,2
1994,30,1
2071,37,4
2113,31,1
2132,27,2
2181,38,4
2223,28,2
2238,32,1
2298,39,4
2369,29,2
2369,33,1
2420,40,4
2506,34,1
2520,30,2
2632,35,1
2677,31,2
2780,36,1
2840,32,2
2894,37,1
3009,33,2
3054,38,1
3183,34,2
3220,39,1
3351,35,2
3391,40,1
3537,36,2
3729,37,2
3927,38,2
4087,39,2
4296,40,2
